country,gb,days,price_usd,price_per_gb,unlimited
france,0.1,7,1.471768269229895,14.718,no
france,0.1,7,1.5,15,no
georgia,1,7,0.31215672000000005,0.312,no
georgia,3,1,1.69,0.563,no
georgia,3,1,1.7,0.567,yes
georgia,2,1,1.2,0.6,no
georgia,3,1,1.8151335200000003,0.605,no
georgia,2,1,1.2139428,0.607,no
georgia,2,1,1.24,0.62,yes
georgia,3,1,2.04,0.68,yes
georgia,19,30,12.99,0.684,no
georgia,2,1,1.46,0.73,yes
georgia,3,30,2.24,0.747,no
georgia,3,15,2.24,0.747,no
georgia,3,7,2.24,0.747,no
georgia,3,3,2.24,0.747,no
georgia,3,5,2.24,0.747,no
georgia,3,10,2.24,0.747,no
georgia,3,20,2.24,0.747,no
georgia,3,3,2.24,0.747,no
georgia,3,5,2.24,0.747,no
georgia,2,1,1.5,0.75,no
georgia,3,30,2.25,0.75,no
georgia,3,1,2.26,0.753,yes
georgia,2,1,1.62,0.81,yes
georgia,3,3,2.6,0.867,no
georgia,3,1,2.62,0.873,no
georgia,1,7,0.89,0.89,no
georgia,1,3,0.89,0.89,no
georgia,1,1,0.89,0.89,no
georgia,1,5,0.89,0.89,no
georgia,1,7,0.9,0.9,no
georgia,3,5,2.73,0.91,no
georgia,2,1,1.8266948800000002,0.913,no
georgia,3,15,2.75160368,0.917,no
georgia,3,30,2.7631650400000005,0.921,no
georgia,3,5,2.79,0.93,no
georgia,3,30,2.8209718400000003,0.94,no
georgia,3,7,2.84,0.947,no
georgia,1,1,0.95959288,0.96,no
georgia,3,1,2.91,0.97,no
georgia,3,1,2.92,0.973,no
georgia,3,7,2.92502408,0.975,no
georgia,3,15,2.96,0.987,no
georgia,3,7,2.99,0.997,no
georgia,3,7,2.99,0.997,no
georgia,3,7,3,1,no
georgia,3,1,3,1,yes
georgia,3,30,3,1,no
georgia,3,5,3.04,1.013,no
georgia,3,15,3.11,1.037,no
georgia,3,1,3.14,1.047,no
georgia,3,3,3.17,1.057,no
georgia,3,7,3.17,1.057,no
georgia,3,30,3.18,1.06,no
georgia,3,10,3.2,1.067,no
georgia,3,1,3.2,1.067,no
georgia,3,30,3.25,1.083,no
georgia,0.5,1,0.55,1.1,no
georgia,3,15,3.3,1.1,no
georgia,3,15,3.3,1.1,no
georgia,3,1,3.34,1.113,yes
georgia,3,1,3.35,1.117,yes
georgia,3,15,3.35,1.117,no
georgia,2,15,2.24,1.12,no
georgia,2,30,2.24,1.12,no
georgia,2,15,2.24,1.12,no
georgia,2,1,2.289336560105409,1.145,yes
georgia,2,15,2.29,1.145,no
georgia,1,1,1.156136,1.156,no
georgia,0.5,1,0.59,1.18,no
georgia,1,7,1.1908200800000002,1.191,no
georgia,0.5,7,0.6,1.2,no
georgia,1,7,1.2,1.2,no
georgia,1,7,1.21,1.21,no
georgia,1,7,1.2127296372450274,1.213,no
georgia,2,30,2.43944696,1.22,no
georgia,2,1,2.45,1.225,no
georgia,1,1,1.2498540138953855,1.25,yes
georgia,2,1,2.5,1.25,no
georgia,2,1,2.55,1.275,no
georgia,2,1,2.55,1.275,no
georgia,10,30,12.9,1.29,no
georgia,1,1,1.3,1.3,no
georgia,0.5,3,0.66,1.32,no
georgia,20,30,27,1.35,no
georgia,1,1,1.37,1.37,no
georgia,2,1,2.75,1.375,yes
georgia,2,15,2.7747264,1.387,no
georgia,2,15,2.79,1.395,no
georgia,2,15,2.79,1.395,no
georgia,10,30,14,1.4,no
georgia,1,1,1.4,1.4,yes
georgia,1,1,1.4,1.4,no
georgia,1,5,1.41,1.41,no
georgia,0.75,7,1.07520648,1.434,no
georgia,0.5,1,0.72,1.44,no
georgia,1,7,1.44,1.44,no
georgia,1,7,1.44,1.44,no
georgia,0.5,1,0.7301127407903737,1.46,yes
georgia,1,1,1.47,1.47,no
georgia,2,1,2.95,1.475,no
georgia,2,1,2.99,1.495,yes
georgia,2,1,2.99,1.495,no
georgia,1,1,1.5,1.5,yes
georgia,2,1,3,1.5,no
georgia,1,5,1.51,1.51,no
georgia,2,1,3.06,1.53,no
georgia,1,1,1.55,1.55,no
georgia,1,7,1.56,1.56,no
georgia,1,7,1.56,1.56,no
georgia,2,15,3.13,1.565,no
georgia,2,15,3.13,1.565,no
georgia,2,1,3.15,1.575,no
georgia,1,7,1.59,1.59,no
georgia,1,14,1.59,1.59,no
georgia,2,1,3.19,1.595,no
georgia,0.5,1,0.81,1.62,no
georgia,0.5,1,0.8136420041724836,1.627,no
